17	1611	79126	0.05	0.31	0.01	36.93	2.00	22.35	76.11	22.04	5.81	6.15	13.95
18	2495	54066	0.07	0.35	0.01	50.42	4.88	19.04	60.45	19.12	16.43	2.89	15.52
19	3784	208259	0.12	0.43	0.02	35.25	2.31	24.89	81.01	24.55	6.64	3.62	8.03
20	3041	102624	0.16	0.36	0.03	39.89	3.76	22.16	76.86	24.56	8.39	3.39	8.73
22	591	25	0.05	0.40	0.02	40.78	64.00	18.27	8.00	22.67	24.00	2.03	0.00
23	14501	73106	0.10	0.44	0.03	55.79	25.42	2.75	14.86	29.43	50.14	0.80	7.42
24	3077	106460	0.13	0.51	0.03	59.12	11.25	6.17	58.21	24.60	21.36	0.71	6.55
25	8219	47405	0.14	0.53	0.04	62.34	40.10	3.14	7.55	21.92	47.75	0.64	2.59
26	4059	49508	0.10	0.62	0.02	70.78	20.52	2.93	38.80	18.08	24.80	0.76	12.45
28	7413	44781	0.07	0.55	0.02	81.72	55.98	2.21	16.14	10.17	20.98	0.67	3.51
30	7633	60685	0.07	0.54	0.03	45.83	27.93	2.45	10.18	30.89	57.39	0.62	2.26
32	12127	70942	0.08	0.80	0.03	89.79	67.37	0.68	5.39	5.30	22.98	0.68	1.72
33	5829	76958	0.08	0.59	0.03	24.60	11.20	3.50	10.26	42.13	74.28	0.58	2.74
34	7296	113062	0.05	0.66	0.02	12.98	4.72	2.84	22.60	45.49	68.82	0.47	2.37
40	15167	91497	0.04	0.58	0.01	50.43	25.88	0.74	1.56	34.70	70.92	0.18	0.57
41	8038	52246	0.06	0.58	0.02	42.95	22.08	1.79	1.33	34.35	74.82	0.12	0.63
42	9471	79762	0.04	0.70	0.01	60.76	39.35	0.71	1.15	25.49	57.69	0.19	0.45
43	9886	172122	0.11	0.58	0.02	46.19	30.82	1.37	2.75	34.17	57.64	0.81	5.73
44	11956	146441	0.04	0.79	0.01	43.27	32.33	1.18	1.50	32.78	63.05	0.60	1.52
45	4285	120833	0.06	0.55	0.01	34.87	22.32	20.14	34.44	32.18	36.56	1.87	4.56
46	8999	128200	0.06	0.76	0.01	40.39	28.70	1.28	1.40	34.25	66.77	0.78	1.48
47	6685	152374	0.07	0.59	0.02	73.99	65.04	1.80	7.13	15.32	22.92	0.97	1.88
48	3533	83266	0.08	0.74	0.02	44.95	25.88	2.97	7.47	37.45	64.19	0.45	1.12
49	6742	114712	0.05	0.72	0.01	47.24	20.37	10.37	27.21	30.17	42.47	1.81	7.58
5	2880	52568	0.08	0.46	0.02	40.31	4.37	10.90	20.43	20.90	11.24	13.99	62.22
50	2323	101720	0.09	0.73	0.01	30.52	11.24	9.64	38.52	44.68	43.41	0.77	4.94
52	9172	139307	0.05	0.77	0.01	31.65	18.79	4.01	7.20	42.27	65.31	1.24	6.57
6	2325	62226	0.07	0.44	0.02	56.90	1.95	17.55	81.10	16.69	6.08	2.32	8.01
60	8781	104278	0.04	0.54	0.02	51.87	12.85	18.96	56.97	21.44	16.71	2.03	11.79
61	5396	159645	0.04	0.51	0.01	32.97	3.32	44.31	71.86	15.79	8.16	2.08	15.10
62	6040	181981	0.03	0.48	0.01	7.24	0.75	56.89	49.86	24.83	13.32	5.10	34.56
63	2520	108646	0.04	0.63	0.01	76.07	42.90	10.52	41.70	5.40	8.51	1.03	4.64
66	3987	191382	0.17	0.43	0.01	10.11	2.27	23.55	65.39	41.86	12.99	8.25	17.69
67	12385	155252	0.05	0.57	0.01	94.34	88.40	0.76	1.42	1.53	6.79	0.99	1.12
68	2545	124491	0.12	0.48	0.03	6.17	1.41	59.61	61.48	26.01	14.35	4.24	20.68
69	5667	84480	0.04	0.59	0.01	90.68	80.96	1.64	5.89	4.62	8.36	0.65	2.64
7	3825	56355	0.10	0.62	0.04	34.93	8.12	11.76	23.92	37.02	31.90	3.76	34.06
70	10287	160664	0.03	0.58	0.01	72.68	35.45	2.73	37.09	18.52	15.66	2.81	9.43
71	6865	98429	0.04	0.51	0.01	92.82	68.03	1.85	19.13	3.20	9.30	0.51	1.23
72	3999	126230	0.08	0.78	0.02	8.43	2.92	5.60	23.34	72.07	45.45	2.20	26.37
73	26710	86468	0.02	0.48	0.01	86.82	76.25	0.69	0.99	6.77	20.09	0.50	0.70
75	31660	183328	0.03	0.57	0.01	77.61	51.65	1.27	3.41	13.83	36.62	0.98	4.90
76	5421	43694	0.06	0.41	0.03	42.41	13.95	18.58	56.74	27.98	21.84	2.32	4.62
77	10375	90744	0.07	0.54	0.03	86.84	68.27	1.96	14.34	5.15	11.86	0.80	2.58
78	2432	66664	0.03	0.40	0.01	40.21	9.05	16.94	66.00	28.62	15.37	2.01	5.84
79	20726	90263	0.05	0.49	0.02	79.53	56.66	3.82	16.07	9.88	22.17	0.64	2.65
81	9101	62722	0.06	0.68	0.02	90.29	75.95	0.69	3.39	5.14	16.70	0.38	1.70
83	9436	112634	0.06	0.57	0.01	36.23	20.14	3.83	8.49	48.29	65.36	0.78	4.24
84	4010	48196	0.07	0.45	0.01	67.41	12.31	10.50	62.38	14.91	12.61	2.12	9.24
88	7156	51421	0.05	0.48	0.02	78.00	42.76	5.06	30.93	11.57	15.74	1.70	6.50
9	5196	76443	0.11	0.46	0.04	33.20	7.15	19.48	51.75	32.64	23.93	2.73	14.17
90	10398	116836	0.05	0.48	0.02	34.63	6.24	8.57	55.18	42.72	32.46	0.89	4.67
94	1546	56247	0.09	0.67	0.03	21.54	3.00	37.06	72.62	31.57	16.16	1.36	5.79
